"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M2,M2,M2";"MountingHole_2.2mm_M2";3;"MountingHole_2.2mm_M2";;;
2;"5V,3.3V,GND";"TestPoint_Loop_D2.50mm_Drill1.0mm";3;"TestPoint";;;
3;"J18";"PinHeader_1x25_P2.54mm_Vertical";1;"HEADER_R";;;
4;"C19,C23,C24,C9,C26,C25,C21,C18,C17,C15";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"100nF";;;
5;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32F427VGTx";;;
6;"J16";"PinHeader_1x25_P2.54mm_Vertical";1;"HEADER_D";;;
7;"R2,R13,R11,R10,R9,R3,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10K";;;
8;"J13";"Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical";1;"PWR";;;
9;"JTAG";"IDC-Header_2x05_P2.54mm_Vertical";1;"JTAG-SWD";;;
10;"J17";"PinHeader_1x25_P2.54mm_Vertical";1;"HEADER_U";;;
11;"J15";"PinHeader_1x25_P2.54mm_Vertical";1;"HEADER_L";;;
12;"U4";"SSOP-16_3.9x4.9mm_P0.635mm";1;"FT230XS";;;
13;"D1,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
14;"C13,C27,C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
15;"C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10nF";;;
16;"L2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"68uH";;;
17;"C22";"CP_Radial_D5.0mm_P2.00mm";1;"47uF";;;
18;"C12";"CP_Radial_D5.0mm_P2.00mm";1;"4.7uF";;;
19;"Y2";"Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering";1;"32.768kHz";;;
20;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"8MHz";;;
21;"L1";"L_0201_0603Metric";1;"BK0603HS330-T";;;
22;"C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.2nF";;;
23;"C14,C5,C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"2.2uF";;;
24;"C11,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"47pF";;;
25;"C7,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10p";;;
26;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uF";;;
27;"C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22p";;;
28;"J14";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor10";;;
29;"J12";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor9";;;
30;"J10";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor8";;;
31;"J8";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor7";;;
32;"J7";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor6";;;
33;"J6";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor5";;;
34;"J5";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor4";;;
35;"J4";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor3";;;
36;"J3";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor2";;;
37;"J2";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor1";;;
38;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"RST_BTN";;;
39;"R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"31.6k";;;
40;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
41;"R14,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R";;;
42;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.5k";;;
43;"R5,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"27R";;;
44;"BOOT0";"PinHeader_1x03_P2.54mm_Vertical";1;"BOOT0";;;
45;"VR1";"SOIC127P600X170-9N";1;"LM5164DDAR";;;
46;"U3";"SOT-89-3";1;"MCP1700-3302E_SOT89";;;
47;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
48;"J9";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
